12131A,12132A,12132B,12132D,12132E,12141A,12141C,12141H,12142A,12142B,12142D,12155A,12158A,12160E,12160F,12161A,12161B,12161D,12168,12274A,12274B,12274C,12142M,12143N,12151N,12152A,12152B,12152C,12153D,12153F,12153G,12153H,12153I,12139A,12142G thr,12143A 3rd,12155C,12156A,12156B,12277A,12277B,12281a,12281b,12281G,12281r,12281S,12284A,12284B,12285*1,12286*1,12287A,12287N,12292A,12292B,12292C,12292D,12292N,12293,12296A,12296B,12297A,12297B,12297C,12298B,12298b2,12298c,12298d,12302,12279d,12279G,12279N,12279N414,12279str,12280A,12280B,12280N,12279c
0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.506340881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.836794044,0.914157389,0.446415281,1.306210379,3.291839296,0.590465992,0.850053931,2.477753224,0.489026231,0.532375058,4.590508775,1.261451425,2.903949868,1.091428406,3.47138923,0.579588443,3.709061668,0.940564716,0.928848878,5.656167474,4.17848273,3.53864841,4.416030877,2.314293424,2.675011858,2.471341875,4.291728118,1.011480889,1.773965389,1.356085806,0.599744338,0.779477949,3.183682193,0.727757398,0.525406525,0.665951237,0.765582811,1.625256033,5.799051016,1.879123238,2.778562878,1.481603,0.66690487,5.697356893,1.61943152,6.298974398,0.613507842,0.483025517,1.738211886,1.759027305,1.770545252,0.93766554,3.185210002,1.73506749,1.45752518,2.345461168,2.119981021,2.795197528,0.373002347,0.773221282,0.595234471,0.739855218,1.568049327,1.757186702,0.984652648,1.336505306,0.501345337,2.443692499,1.256494911,1.272225477,1.316447615,1.110730759,0.508903201,0.909506268,1.551634,1.835390588,1.072558278
3.513301975,1.781600314,0.81855206,4.036083706,5.046872266,1.462036802,4.900551737,3.493724617,2.355316412,2.496439742,6.531901413,3.261155116,3.586028427,2.216061303,4.606407133,1.57197288,5.026223001,3.203633394,4.487574722,6.287242757,6.225471915,4.629414296,6.292410443,5.704836433,3.917149677,3.675843962,4.779069724,2.807004796,9.313703888,2.050535073,2.686426243,1.535664226,5.005682828,5.224209236,1.87092047,2.268217305,1.803886505,2.404566497,6.396735895,2.42221962,5.697012716,2.287040075,1.286394407,12.00871619,3.923608592,8.404144453,1.349089623,1.932102069,3.727265397,2.999737959,3.073847028,3.916518608,5.141412603,2.609432209,2.598353224,5.41704197,6.390931736,5.88559529,0.814396703,3.760959883,1.164589182,1.370175547,2.805861137,4.180860193,1.856442688,1.922502132,1.305661956,3.209065793,2.638827914,2.146492274,2.239489607,1.874004788,0.947338511,1.598802408,2.730511961,3.254568849,2.207426215
3.887661941,2.893815686,2.739298835,4.520425736,6.039636521,2.153047878,5.635048595,4.57432667,4.262499898,3.199773741,19.9629348,3.91731147,4.626709829,4.959848355,5.567222749,3.133261789,5.61749698,4.699551615,4.828685944,6.730828944,8.539383793,6.85770128,13.2217096,8.250280436,5.54461631,4.545487152,6.328322758,3.529138207,10.71496248,6.982426961,7.64956767,2.587629701,6.206067942,5.944799326,5.768380153,3.037041388,3.419721759,3.230201249,6.823028718,4.795225269,6.25029963,3.493039606,1.865807847,12.84717389,6.513372641,10.27460913,4.431691943,2.716438904,6.180941806,3.687437765,3.978326543,4.716829882,6.804860963,3.431335046,4.166109319,7.031953694,9.020075915,6.71304393,1.516867968,4.680992005,1.894804359,2.425365533,4.129016466,5.077347694,4.319006652,3.2998316,2.635128799,5.460776338,3.206199491,3.066921714,3.403633045,3.572225255,2.110153438,3.112156697,3.939530444,4.963798142,4.947427494
4.329879279,3.943296156,3.790436382,5.494203401,6.686185586,4.557485476,7.044393117,6.887709168,4.87288893,7.66979437,24.0717861,5.00922529,5.233538994,5.811366252,6.917210983,4.036499713,7.37167548,5.689636296,5.864849017,8.862925954,8.964524038,7.724901081,14.30204935,8.752054486,6.307175554,5.255233067,6.824593237,4.37283825,12.62146298,8.959784443,9.52856668,3.536911457,6.962013938,7.684180856,7.184746002,4.43893465,4.605096604,4.910218373,7.611244694,5.631165688,6.803586544,4.037215843,2.119687503,14.56932833,7.980891786,12.13840823,5.641866235,5.476350105,6.84358978,4.681096379,5.851131185,5.654401665,8.32260226,5.289360074,5.899459497,8.036289985,10.43161734,8.573801683,2.753613151,5.721022603,3.024075281,4.839090802,4.913978364,6.58120571,5.202279236,7.402538388,4.017667142,7.968921325,5.193938397,3.62087342,5.685160852,8.719930344,2.65997348,3.796400635,4.770970404,7.062197409,5.657798196
5.176009547,6.110521175,4.544832062,6.901162316,8.030392017,5.239527995,9.23030659,12.60692987,6.022166429,8.002528782,26.82196034,6.174452668,6.446230521,7.46591704,9.072574747,5.582068893,8.14401069,6.401855457,7.676813719,11.56229577,10.15472629,10.88553724,18.53942615,11.47796989,7.075982122,7.323352606,8.286368297,6.195320448,13.78640584,14.3014014,14.40474518,5.141198461,8.296130284,10.42939754,11.5177365,9.698917829,5.249347832,5.271829052,8.065582069,6.228495028,7.356873458,4.719850012,2.937239868,16.48646104,11.02494223,12.93699616,6.744192858,5.959375622,9.135487765,5.892039201,6.223563926,8.040521852,8.986568392,6.405377343,7.64767227,11.24138033,13.71078228,9.125000948,3.07875346,6.628700008,7.771945529,5.837476298,6.06137456,7.23701222,6.612963694,8.589841102,4.494692335,11.42980377,6.032160486,4.618946447,7.220341993,10.26621559,3.050104186,5.240561717,5.527113864,8.491189427,6.684689786
6.297406475,7.152842068,5.291412869,7.50041011,9.412929675,6.99315094,13.41309148,14.44227127,7.025683128,10.02162774,27.84705062,7.5490819,7.944128533,8.256635257,10.2587276,6.77744879,9.614640469,7.232935118,9.959315695,12.41095007,10.81806568,12.70267007,19.47738849,12.35930813,8.52196783,9.748712357,9.436944053,7.120476675,15.41208174,15.26503656,14.67711478,6.10943079,9.966122753,12.59730137,17.16545331,11.28578163,6.238458471,5.59359928,8.612411785,7.519490405,7.910160373,6.10086712,5.241856827,17.1005658,12.28894439,13.93619244,7.476427282,7.748502138,9.999637533,7.388396835,7.612472028,9.673959413,10.58093991,7.485217771,10.34882511,14.6883875,14.30386691,10.91450347,7.264517533,8.257945463,8.265690746,6.991259325,8.06849093,8.227186365,7.443828771,9.514338272,6.084261054,11.86171404,7.495486698,5.269882052,7.831019921,11.50410729,3.774767948,6.338866593,6.279421258,9.873184455,8.177178631
7.648764498,7.785578487,5.737977005,9.587590177,10.77702769,9.350260493,14.18902511,15.2029939,8.562067194,10.52206029,28.38364063,8.722251582,9.152630587,8.796030935,11.96697852,7.659590974,10.39531921,7.581147932,12.29381449,12.69883751,11.20107277,15.24074073,30.40547994,13.52821866,8.724735935,11.12408717,9.909549897,7.764205784,17.68974665,16.85992611,16.35974036,9.468941515,11.3213125,12.9852319,17.6070341,12.89993968,6.819715493,6.53102165,10.26375941,8.485994234,8.463447287,6.810311694,6.78918042,17.95069148,13.99438359,14.44892947,9.254710882,9.166858267,10.26364631,8.432052827,8.771376309,11.85550144,11.32007432,8.316847915,10.96809992,15.25355738,14.77522092,12.66913641,7.749816343,10.65752067,8.74898257,8.145391561,8.586947293,10.1946059,8.523384151,10.60784261,7.397342715,12.40543366,8.099216158,6.620739308,9.940236066,14.16389883,4.047831029,8.096154395,8.117883412,11.41874209,9.407033279
7.879937331,11.15667563,9.111992331,10.05994725,10.93383725,10.91154572,15.23786262,16.42471093,11.25901832,11.26199508,30.59627447,9.41483561,10.65777961,9.332718674,12.50052471,9.036802539,11.20707269,12.87582004,15.96453349,13.6003525,13.60242484,17.13145021,31.94069958,15.96611576,10.26612832,12.87033185,10.55455166,9.11284697,20.29737221,17.90785005,16.94783252,10.35310677,12.07366304,13.3860498,19.62745612,14.90094548,8.098650281,7.468444019,11.48459581,10.81703556,9.016734201,7.457698617,7.272024953,19.11953754,15.41216335,17.29269721,11.98374858,9.939699094,12.25854367,10.56034799,15.42786669,12.20680958,11.98136022,9.55166949,13.03672547,17.99068756,16.33888856,15.78844777,8.368188935,11.05182015,9.774125518,9.796446693,8.773071143,11.96706352,10.14634845,12.6701918,11.21117408,13.32859765,9.22369109,7.905387759,10.63712603,15.65436485,4.464197765,8.631907514,9.853648592,14.68595979,10.21888551
9.022203094,12.8822753,16.13815801,10.33178103,14.0222597,12.36601868,15.6086053,22.71178113,15.36446786,11.78811473,31.07850219,11.62279563,11.32567841,10.34748661,13.85541019,10.09995978,12.1519942,15.3577959,16.9288519,15.56055986,14.90902887,17.72922006,32.83254848,19.49838206,11.14368461,15.08235176,11.39680034,10.71145182,21.72958871,19.04804894,18.91884945,11.44122025,12.87265471,14.60621502,19.96356572,15.50958594,10.12310118,8.121202463,14.47364515,12.45719918,9.570021115,8.781251465,7.906386102,20.63166815,16.3707864,20.54421908,13.09590806,10.77610608,13.04657547,12.15502332,16.57155444,14.81485301,12.58246277,10.72834581,14.02756516,18.72898917,18.62982623,21.37970915,9.757795823,14.19228408,10.68580348,11.12483369,9.434648807,12.96285887,13.10609674,13.6776738,12.71995045,14.60585732,10.18366494,16.80983674,11.93862423,16.33581179,5.44326577,9.620381903,10.90900522,15.72981637,11.41799125
