***********************************Start of a new Run****************************************
Data Size=100000, Tile Size=512 Iteration Count=256
changed setup and full.
Model Pyramid Size=1, Model Latency=117606.275527
Model Pyramid Size=2, Model Latency=71033.683152
Model Pyramid Size=3, Model Latency=55541.523796
Model Pyramid Size=4, Model Latency=47819.614596
Model Pyramid Size=5, Model Latency=43205.919874
Model Pyramid Size=6, Model Latency=40146.428492
Model Pyramid Size=7, Model Latency=37975.136329
Model Pyramid Size=8, Model Latency=36359.041901
Model Pyramid Size=9, Model Latency=35113.144901
Model Pyramid Size=10, Model Latency=34126.445615
Model Pyramid Size=11, Model Latency=33328.308294
Model Pyramid Size=12, Model Latency=32671.642838
Model Pyramid Size=13, Model Latency=32123.848782
Model Pyramid Size=14, Model Latency=31661.640429
Model Pyramid Size=15, Model Latency=31267.941931
Model Pyramid Size=16, Model Latency=30929.946713
Model Pyramid Size=17, Model Latency=30637.861811
Model Pyramid Size=18, Model Latency=30384.070756
Model Pyramid Size=19, Model Latency=30162.560818
Model Pyramid Size=20, Model Latency=29968.522073
Model Pyramid Size=21, Model Latency=29798.061024
Model Pyramid Size=22, Model Latency=29647.992323
Model Pyramid Size=23, Model Latency=29515.684828
Model Pyramid Size=24, Model Latency=29398.946148
Model Pyramid Size=25, Model Latency=29295.934892
Model Pyramid Size=26, Model Latency=29205.093173
Model Pyramid Size=27, Model Latency=29125.094109
Model Pyramid Size=28, Model Latency=29054.800574
Model Pyramid Size=29, Model Latency=28993.232483
Model Pyramid Size=30, Model Latency=28939.540623
Model Pyramid Size=31, Model Latency=28892.985543
Model Pyramid Size=32, Model Latency=28852.920407
Model Pyramid Size=33, Model Latency=28818.776965
Model Pyramid Size=34, Model Latency=28790.053993
Model Pyramid Size=35, Model Latency=28766.307728
Model Pyramid Size=36, Model Latency=28747.143881
Model Pyramid Size=37, Model Latency=28732.210957
Model Pyramid Size=38, Model Latency=28721.194625
Model Pyramid Size=39, Model Latency=28713.812956
Model Pyramid Size=40, Model Latency=28709.812374
Model Pyramid Size=41, Model Latency=28708.964199
Model Pyramid Size=42, Model Latency=28711.061686
Model Pyramid Size=43, Model Latency=28715.917474
Model Pyramid Size=44, Model Latency=28723.361389
Model Pyramid Size=45, Model Latency=28733.238531
Model Pyramid Size=46, Model Latency=28745.407621
Model Pyramid Size=47, Model Latency=28759.739546
Model Pyramid Size=48, Model Latency=28776.116101
Model Pyramid Size=49, Model Latency=28794.428872
Model Pyramid Size=50, Model Latency=28814.578262
Model Pyramid Size=51, Model Latency=28836.472624
Model Pyramid Size=52, Model Latency=28860.027504
Model Pyramid Size=53, Model Latency=28885.164957
Model Pyramid Size=54, Model Latency=28911.812952
Model Pyramid Size=55, Model Latency=28939.904832
Model Pyramid Size=56, Model Latency=28969.378837
Model Pyramid Size=57, Model Latency=29000.177675
Model Pyramid Size=58, Model Latency=29032.248140
Model Pyramid Size=59, Model Latency=29065.540765
Model Pyramid Size=60, Model Latency=29100.009515
Model Pyramid Size=61, Model Latency=29135.611504
Model Pyramid Size=62, Model Latency=29172.306742
Model Pyramid Size=63, Model Latency=29210.057911
Model Pyramid Size=64, Model Latency=29248.830153
Model Pyramid Size=65, Model Latency=29288.590885
Model Pyramid Size=66, Model Latency=29329.309627
Model Pyramid Size=67, Model Latency=29370.957847
Model Pyramid Size=68, Model Latency=29413.508818
Model Pyramid Size=69, Model Latency=29456.937490
Model Pyramid Size=70, Model Latency=29501.220371
Model Pyramid Size=71, Model Latency=29546.335419
Model Pyramid Size=72, Model Latency=29592.261942
Model Pyramid Size=73, Model Latency=29638.980508
Model Pyramid Size=74, Model Latency=29686.472861
Model Pyramid Size=75, Model Latency=29734.721842
Model Pyramid Size=76, Model Latency=29783.711323
Model Pyramid Size=77, Model Latency=29833.426136
Model Pyramid Size=78, Model Latency=29883.852016
Model Pyramid Size=79, Model Latency=29934.975545
Model Pyramid Size=80, Model Latency=29986.784100
Model Pyramid Size=81, Model Latency=30039.265805
Model Pyramid Size=82, Model Latency=30092.409488
Model Pyramid Size=83, Model Latency=30146.204638
Model Pyramid Size=84, Model Latency=30200.641371
Model Pyramid Size=85, Model Latency=30255.710390
