Size 10000, time=40.
Size 20000, time=27.
Size 30000, time=29.
Size 40000, time=33.
Size 50000, time=36.
Size 60000, time=37.
Size 70000, time=40.
Size 80000, time=40.
Size 90000, time=42.
Size 100000, time=45.
Size 110000, time=47.
Size 120000, time=48.
Size 130000, time=51.
Size 140000, time=53.
Size 150000, time=54.
Size 160000, time=56.
Size 170000, time=58.
Size 180000, time=60.
Size 190000, time=62.
Size 200000, time=64.
Size 210000, time=65.
Size 220000, time=67.
Size 230000, time=70.
Size 240000, time=73.
Size 250000, time=71.
Size 260000, time=74.
Size 270000, time=76.
Size 280000, time=77.
Size 290000, time=79.
Size 300000, time=81.
Size 310000, time=83.
Size 320000, time=86.
Size 330000, time=87.
Size 340000, time=89.
Size 350000, time=116.
Size 360000, time=94.
Size 370000, time=96.
Size 380000, time=97.
Size 390000, time=98.
Size 400000, time=100.
Size 410000, time=101.
Size 420000, time=104.
Size 430000, time=107.
Size 440000, time=109.
Size 450000, time=139.
Size 460000, time=109.
Size 470000, time=113.
Size 480000, time=113.
Size 490000, time=118.
Size 500000, time=120.
Size 510000, time=119.
Size 520000, time=120.
Size 530000, time=122.
Size 540000, time=125.
Size 550000, time=126.
Size 560000, time=131.
Size 570000, time=146.
Cuda error in file 'Model.cu' in line 194 : unspecified launch failure.
